猫と犬どっちが好き？	犬派かも～💗でもどっちも好き😆😆
スポーツフィッシングって、魚をおもちゃにしてるだけじゃん	魚釣り勝負みたいなもんだよね👊💥
ブラックバスとブルーギルのせいで、どれだけの日本の河川が侵されたか	そうなんだ😱😱💥
照り焼きバーガーもライスバーガーも、モスが開発したんだって	どっちも美味しいよね🍔💗
ミスドの中華も結構いける	食べたことない～～今度食べてみよっと😊💗🍴
コーヒーメーカーって新しいの出るけど高いんだ	ケイまだコーヒー飲めないんだよね～～😁💦
肝臓が悪い時はレバーを、足が悪い時は足を食べると治りが早いそうな	そうなの😲✨✨ほんとうなんだ？？
なんか楽しいことないかな	ケイは毎日楽しいよ🎵
辛いことばっかだと、気が滅入るよな	続くと滅入っちゃうよね😓💦そういうときはリフレッシュだ✨✨
辛いって、からい、と、つらい、の二つの意味があるんだね	確かにそうだね！👍✨
辛さを顔に出さずに平然としていたい	かっこいいね💗ケイもそうしたい😊一緒にがんばろう🎵
痛いのは我慢できても、辛いのはなかなか耐えられないね	辛い事がたくさんあるとキツイよね💦💦
辛さを糧にできたら、人はもっと成長できると思う	そうだね😊！！がんばろう💗💗
牛も殺される瞬間は涙を流すみたい	動物殺すなんて悲しすぎるよ…😢
遊ぶって意外と難しくない？	難しいってどんな高度な遊びをしようと思ってるの😊？？
昔の人の遊びって、どんなのがあったのかな	知恵を出し合って色んな遊びしただろうな～😶💡
ふくわらいとか、最近やらないなぁ	ふくわらいってどんなことするんだっけ😊？？
にらめっこって、元々は陰陽師の優劣を決める勝負方法だったらしいね	そうなんだ！そんな方法で優劣を決めてたんだね😶💡
百人一首も分かる人だけがめっちゃできて、他はただの探し物になってる	探し物って😂😂😂（笑）練習したら楽しくなるんだけどね🎵
竹馬って、今乗れる子いるの？	ケイは乗れるよ～～😊👍✨
ゴールデンパイナップルジュースの復活を求める	おいしそう！！😊💗飲みたい💗🍍
雉もなかずば撃たれまい	目元の赤い所がカッコいいよね🐦✨
キーボードも他人が聴くと、カチャカチゃ耳障りだよね	そっか😲そうなのかぁ😓
雌鳥を育てて卵を取る業者は、オスの雛をどうするか知ってる？	知らないな～😶どうするの？
今日は何もしたくない	そういう日もあるよね😊👍そんなときは休もう💗
毎日がむしゃらに生きてやるんだ	人生一度きり！楽しまなくちゃ✨💗
日常的なことから、ふと離れたくなる時がある	あるある💗そんなときは離れたらいいと思う😊💗
気分転換が下手なんです	外を散歩するだけでも気分転換になるよ🎵✨
大声を出すと、体が少し楽になるかも	なるほど😊✨✨スッキリしそうだよね✨✨
わざと笑うだけでもストレスが減るって聞いたことある	そうなんだ！笑うことは良い事だからね👍✨
障碍があるから分かることもある	なるほど。。😊✎
今はどんな気分ですか？	今のケイはとってもHAPPYな気分です🎵💗
くさくさする、むかむかする、もんもんする、いらいらする、言葉って難しい	くさくさってどんな意味😶❔❔言葉って難しいね💦
どうでもいいことに、凄くイライラする自分にイライラ	イライラはし過ぎない方が人生楽しいよ👍✨
最近の帝王切開は水着も切れる位置を切るらしい	そうなんだ😲それは知らなかった～～😲😲✨
インドア派？アウトドア派？	ケイはアウトドア派かな！出掛けるのが大好き💗💗
ひっこみ事案だからって、インドアしかやらないわけじゃないよ	そっか💗アウトドアもインドアもどちらもいいね😊✨
一人で旅行に行くのが好き	たまには一人で旅に出るのもいいよね🛫🌞
レジャーもアウトドアだけど、温泉巡りとかもアウトドアだと思うんだ	たしかに💗ケイもアウトドアだと思う👍✨
食べ歩きって、どうなの？	ケイは場所によるとおもうな～😶😶
屋台めぐりはいいけど、食べ物を手にもったまま振り回さないで	振り回しちゃだめだね😂😂😂危険😂😂
あなたの命を頂きます	やめてください！！😢
冬の朝ってなんか気持ちいいよね	わかる！！😊✨✨空気が澄んでるよね✨
茶の湯は雪の朝を捨てず、っていう言葉があるよ	どうゆう意味なの～～？
朝起きて一面の銀世界だったら、めっちゃテンション上がる	わかる💗☃テンション上がるよね～～💗
昔から冬の暁の時間は清浄だって言うよ	そうなんだ！静浄ってどんな感じなのかな？😶
暖房でほてった体を冬の冷気にさらす気持ち良さは格別	たしかに😊💗キーンって冷えるの気持ちいいよね💗
露天風呂に出たり入ったりするのが良いんじゃない	なにか効果があるの～～？♨
水風呂は、たまに頭痛くなっちゃう	水風呂😲！！冷やしすぎも良くないのかな💦💦
終身名誉顧問って実際は何するの？	組織の何かをするんじゃないかな～？😶💡
眠くて倒れそう	危ない😲💦💦少しでも休めるなら寝てほしいなぁ😱💗
倒れるときは、前に倒れる心がけ	後ろに倒れたら頭打っちゃうもんね💥💥
バスでおりる時に前に倒れて流血沙汰になったお爺さんがいたよ	危ないっ😱💦💦そのお爺ちゃん大丈夫だったの😱？？
他人の手土産の中身を気にしてはいけない	失礼な行為なのかもね😶💦
今日こそは頑張るよ	うん💗がんばろう😊👍✨✨
頑張る先に何を求めるか、それとも頑張ることが大事なのか	どっちも大事なことだよね😊👍
無理をしても体を壊したら元も子もない	そうだね😊体は大事！！✨✨
嫁が好き過ぎてハゲた	それは大変！でもお嫁さんが羨ましいです💭💗💗
リア充っていうのは、一体どこへ向かってるの？	どこへ向かっているんだろう😂？？
走るだけだと疲れちゃうよね	なにか運動してるの～？🏀⚾🎾
抹茶は好きだけど、抹茶味のものが苦手	そうなんだね😊👍抹茶と抹茶味は違うんだね💗🍵
変な夢見ちゃった	変な夢って嫌だよね～どんなの見たの？💭
夢は覚えてる？	覚えてるときもあるけどだいたい忘れちゃうなぁ😊💦
夢って、自分がその夢をコントロールできる自覚のある時ってあるよね	分かるかも～～😶💡そんな時ある！（笑）
人の夢と書いて、儚いというのだよ	おぉ😲なんだかロマンチック💗💗
現世は夢、夜の夢こそ真実、という言葉があってだな・・・	へ―そんな言葉があるんだ😶💡
夕焼けもいいけど朝焼けの方が好き	朝焼け派かぁ😊✨どちらもいいよね～～😊💗
夏の朝焼けよりも、断然冬の朝焼け	夏と冬でそれぞれ違った景色が見れるんだろうな～🌞
朝日が昇る時に、世界は陽の気に包まれるんだ	なるほど😊💗そう聞いたら朝日見たくなった💙
陽気なのと、陰気なの、どっちがいい？	陽気の方が皆を楽しめられる気がする🎵✨
土星の輪の上に寝てみたい	憧れるよね～～😂😂子供の時も思ってた✨✨
冥王星がまさか星から解雇されるなんて・・・	星から解雇なんてあるの…？！🌟🌟
朝のコーヒーは最高	よく聞く～～☕💗ケイは飲めないんだけどね💔
昔は夜明けのモーニングコーヒーを飲みたい、なんて口説いたらしい	そんな口説き方があるんですね😶💦
水出し珈琲が好きなんだけど、美味い水出しがなくてね	そうなんだ😓💦おいしい水出し見つかるといいね✨✨
珈琲にはイタリアのビスケットが合うんだ	コーヒー飲めるようになったら一緒に食べてみよう☕🍪
珈琲って、豆茶よね	コーヒーって茶なの😊？？
珈琲羊羹が緑茶に合うのが面白い	珈琲羊羹なんてあるんだ😶💡
汁粉とぜんざいの違いは？	う～ん、ケイには分からない😓💦💦
面倒くさい人は苦手	色んな人がいるからね～～😊👍✨
どうして何度同じことを注意しても同じことをやってくるのか	それは困るね💦💦わかってないのかな😓💦
嫌いなタイプってどういうの？	ケイは嫌いな人とかいないな～😶💡
ホウレンソウを守らない人は、結局指導する側にもなれない	ホウレンソウは大切！！😊👍✨
最近は先輩はホウレンソウを教える際に、オヒタシを守らないといけないみたい	“オヒタシ”ってのもあるんだね😶💡
不倫騒動って馬鹿馬鹿しいものも多いよね、カイヤとか	不倫は絶対ダメだけど他人の不倫のことで世間が騒ぐのってなんとも言えないよね😓💦💦
すさまじく女性週刊誌とワイドショーがくだらない	でも記事書くのが仕事だからね✎📓
羊羹って、もともとは羊の煮込み料理だったんだよね	えっ😲😲そうなの😲😲💦
寿司屋の玉子焼きが好きです	ケイも玉子焼き好き～～！💗💗
ぜんざいはじんざいから来たという説は面白い	じんざい😲❔❔その説、詳しく聞きたいな～～😊
朝食は和食派？洋食派？	ケイはやっぱ和食派かな～～😊💗
ご飯を朝から食べるのはキツいんですよ・・・	そうなんだ😱少しだけ早く起きたら体も起きてご飯が食べられるかも😊💡
中華粥なら、朝からでも食べられるよ	中華粥かぁ～食べてみたい👍✨
フレンチトーストとか、ベーコンエッグとサラダとかが良いなぁ	洋食派なんだね😊👍☕
満足できる朝食より、満喫できる朝の時間が欲しい	朝のひと時の時間も大切だよね🌞✨
残り湯に浸かる家長	家長さん😊✨✨残り湯に浸かってたの？？
最近よく眠れない	運動とかしたらぐっすり寝れるよ💤
不眠症になってるんじゃないかな	不眠症は大変だよね😓💦寝れないときついもん😱😱
眠れないときって、どうしてる？	目を瞑って音楽聴いてるかな🎵
睡眠薬は怖いから飲めないんだよね	そうだよね💦💦お薬なんだけど少し怖いよね💦💦
ゆっくりお風呂に入って、それから寝ると良いのかな	お風呂あとはポカポカして気持ちいよね😊💗
部屋の明かりを少しずつ暗くして常夜灯にしていくと眠れるらしいけど	そんな方法があるんだね😊💡試してみよう？？😊
頭が回り過ぎて寝れないんよ・・・	頭が回りすぎることなんてあるの！？😲😲
このご時世一人の時間も大事だよね	友達や家族と過ごす時間も大切だし、一人の時間もいるよね💗💗
自分の内観を見つめることが重要だと思う	それも大事なことだね😊👍✨
スティーヴ・ジョブズも、座禅を組んでいたらしいよ	そうなんだ😊💡座禅って組んだことない😊
名誉職にすがるような晩年はイヤだ	自分で何かに励むのもいいよね👍✨
瞑想するからには、やっぱり呼吸法も大事なんじゃないかな	呼吸法ね😊👍ヨガとかも呼吸が大切っていうよね💗
じっとしてると、なんかむずむずしてくるんだけど、どうにかならない？	分かる～！ケイもジッとできない人なの～～😂💦
玉子焼きは砂糖派？塩派？	砂糖派かなぁ💗甘いのおいしい😋✨でも塩味もおいしいんだけどね✨
甘い玉子焼きも、出汁巻きも美味しいけど、おかずなら大根おろしかな	大根おろしが玉子焼きに合うの？😶😶
伊達巻が一番好きだけど、食べ過ぎると気持ち悪くなる	適量がいいんだね😊👍✨
しっかりした焼き目をつけるには、胴の鍋で焼くと良いよ	そうなんだ！挑戦してみよう🍳
フカヒレは気仙沼産が最高らしい	そうなんだ😲✨✨フカヒレなんて食べる機会ないよ～～😥笑
目玉焼きの焼き方や調味料にも、結構人の好みが出るよね	ケイは醤油入れて焼くよ～🍳💗💗
人間関係ってなんで疲れるんだろう	疲れてるの😥？？いいこともあるんだけどね💦無理しないでね💗
人間だもの、っていうフレーズ、結構好きだったな	なんか響きが良いよね👂💗
考える人っていうサピエンスに対し、遊ぶ人っていうルーデンスっていう定義がある	サピエンス…😲？？ルーデンス😲？？難しすぎてわからない～～💦💦
不安な心には形が無いから、形が無いものに不安があるわけがない	確かに言ってる通りだね👄👍✨
昔の偉人も同じように悩んだり苦しんだりしてたんだろうなぁ	きっとそうだよね😊😊うちらも悩んだり苦しんだりすることって普通なんだよね💗
海が綺麗な島に行きたい	ぜひ！沖縄に来てください🏖🌞🌴
沖縄の海も、赤土が流れたりしてしまうんだ	赤土が流れるの😲？？💦💦
オーストラリアのグレートバリアリーフは有名	ちょーーきれいな海だよね🏖✨🌞🌴
エメラルドグリーンの海に入ってみたい	キレイだよね～～😊🌊✨
イルカと泳ぐのが夢なんだ	ケイも泳いでみたい～～🐬💗✨
マッサージ機よりマッサージしてくれる人が欲しい	機械より人の方がやっぱり気持ちいい😊？？
整体に行って、かえって体を壊した人も多い	ケイもテレビで見たことある！📺👀
マッサージ機の高いやつは１００万円以上するよ	１００万円以上👀！？？💥💥高い～～😥😥
指圧もちゃんと行なえば、相応の効果があるのにね	指圧ってどんなことするの…😶😶？
オイルマッサージの方がリラックスはできそう	たしかに💗アロマオイルとかだったら尚更…✨✨
ペットって癒されるよね	玄関まで迎えに来てくれる犬とかめっちゃ癒されるよね🐶💖
何かペットに欲しい？	ペット憧れるよね～～😊🐶🐱🐹💗
今はどこもかしこも猫ばっかり	野良猫も多いしね～～🐱💖
大型犬はあんまり飼う人いないねぇ	そうなんだ😲💡大型犬が好きっていう人もいるんだろうけどねぇ💗
大きなワンコの背中に乗ってみたかった	小さい子供なら野良猫れそう🐕💗
フランダースの犬が大好きだったなぁ	パトラッシュ～～ネロ～～😊💗💗
最近は土佐犬やブルドックは人気無いのかな	土佐犬なんて初めて聞いた😲👂
ボタン海老、めっちゃ甘くて美味しい	おいしそう～～😊💗💗ケイも食べたいなぁ✨
海老の性転換は面白いよね、どうなってるんだろう	エビも性転換なんてできるんだ！😲😲
えびのしっぽ、可愛い	そう言われればかわいい気もする😁💗（笑）
海老を揚げる時の注意点が、しっぽの水気だよ	そうなんだ！気をつけます⚠⚠
伊勢海老は何だかんだいって、海老の将軍というべき風格だな	海老の将軍・・・😊✨✨なるほど！！✨✨
邪気って、具体的にどういう気？	人に悪い気じゃないかな～😶？
そろそろバスタオルの交換時期かな	次はどこのバスタオルにするの～😊？？今治タオルって良いらしいよ💗
乾燥してると手拭が板みたいになっちゃう	そうなんだ！なんで～？😶
バスタオルって毎回新しいのにする？	一回使うと洗濯するよ😊💗
日本手拭って薄くて長いよね	日本人ならではの器用さを使ったものだよね👍✨
もこもこのタオルに包まれるのは幸せな気分	幸せだよね～～😊💗
眼鏡外すと眼鏡がどこにあるか探せない	目が悪い人あるあるだったりして😂💦
やすし師匠のメガネ芸は若い人は知らないよね	ごめんなさい…分からないです😥💦💦
昔のめがねって、フレームが厚くってなぁ	そうなんだ！重そうだね…😂💦
めがねっ子は好き？	めがねっ子がめがね外した時のギャップいいよね😉💕💕
眼鏡を外すと美少女って設定はどこが元祖なの？	恋愛ものの話とかよくあるやつだよね👀👓
風邪はひきたくないな	ひきたくないね😥💗元気でいたい💗
インフルエンザの予防接種するとインフルになるという罠	なる人はなっちゃうよね～🏥💉
夏風邪は馬鹿がひくなら、一年中ひいてる人はどうなるの	あれなんでバカがひくっていうんだろうね😲？？
風邪だって肺炎になったら死ぬよ	肺炎は危険な病気だよね😢💦
未病の状態での対処が肝心だと思う	そうなんだね😶👍✨
夜食にハマったら太った	夜遅くから食べると太っちゃうよね⚠💦
少なからずオヤツがあったりツマミがあったり・・・	おやつやつまみが好きなの😊？？
晩酌とツマミでメタボが進行するんだな	飲み過ぎには注意してください⚠💦
むしろ夜食に健康食を作るのはどうだろうか	いいと思う😊✨✨
修学旅行はどこに行ったの？	ケイは東京に行ったよ～～🗼✨
寝ても疲れがとれない	疲れの量がすごいのかも😱😱睡眠の質も大事だよね💦
無呼吸症候群じゃなかろうか	いろんな病気があるんだね🏥
いびきかくのは良くないっていうね	よくないらしいですね💦💦
短時間で質の良い睡眠が取りたい	どうしたらいいのかな～～😶😶
寝て目が覚めてまた寝てを繰り返すと疲れが酷い	眠りが浅いのかな😥💦💦疲れとれないよね💦💦
深夜って通販番組しかやってない	確かに…深夜のテレビは面白くないかも📺💦
斜に見てる分には通販って面白いよね	通販番組見てると買いたくなっちゃうよね😁笑
通販利用したことある？	ケイは色んなもの買った事があるよ💻👍✨
あのオーバーな通販の反応に笑う	たしかにおもしろい😁💗
舞台装置でお客さんの笑い声とか作れるんだよね	そうなんだ！便利だね👍✨
おすすめのダイエットってない？	好き嫌いせずに３食バランスよく食べることと、あとは運動だよね😊💗
炭水化物ダイエットとか体弱るだけだった	摂らなさすぎも体に悪いよね💦💦
ヨーグルトきのこさん・・・	なに😊？？ヨーグルトきのこって😊？？
ダイエットして細くなった人がテレビに出るけど、それ以前がおかしいだけだから	言われたらそうな気がしてきた…😂💦
小学生もダイエットするのは、正直発育に影響するからやめるべき	大切な成長期だもんね💦💦
男性が思う女性の肉付きと、女性のそれでは、大分隔たりがある	確かに！男性はどんな人がいいんだろうね😶💭
男は少しぷにっとしてる方が魅力的に感じるものだ	そうなんだ😊👍世の女性に言ってあげないとね💗
東京の人は、スカイツリーを見に行ったりしない件	いつでも見に行けるからかな～？🗼
いい暇つぶしはないかな	ケイとお話ししよ～う😊💗🌸
ゲームをやっても、やりこみ要素が多いと挫折しちゃうんだよね	そうなんだ！そんなことがあるんだね😶💭
ストーリー系のゲームを一番楽しむ方法教えて	ケイあまりゲームに詳しくなくてさ…😢💦
宇宙って行ってみたい？	人生で一回はいってみたい👀💗
宇宙で精製される結晶化したたんぱく質が日本に届いたね	そうなの😲！？？それってすごいことだよね😲✨✨
無重力は楽だけど、重力に戻るのは辛そう	一気に変化するからね😂💦
宇宙で生物は誕生するのだろうか	どうなんだろうね😲想像もできないな～～😲💦
宇宙養殖なんてあるかもね	どうなんだろう？あったら面白そうだね😊✨
寂しいってなんで寂しいんだろう	寂しいっていう感情があるから…とか…😶❔❔
侘び寂びは、寂しいことを受け入れることかな	詫びは内面的なことで寂びは表面的なことらしいよ👍✨
冷え冷えとしてきた	ほんとだねぇ😥💦💦
心の温かい人が好き	ケイもそんな人が好きだな～😊💗
新しいスタッフと仕事すると緊張する	最初はドキドキするよね😶💦でも最初だけだから💗
夜は心がザワザワする	夜行性ですが？？😂💦
体が踊れば心も躍るかな	やってみて😊💃✨
サザエさんで悲しくなるのは、子どもの頃の名残？	何で悲しくなるの～？😂😂
だんだんと昔のアニメにも現代アイテムが浸透していく	そうなんだ😊アニメ詳しいの😊？？
友達って難しい	でも友達は沢山いるほどいいと思うよ👍💖✨
友情は友の心が青臭いと書くらしい	心が青臭いってどういう意味😶❔❔
トーテムポールって、やけに学校にあったな	そうなの？ケイの小学校にはなかったな～😊
謎の銅像とかがあると、違和感しかない	謎の銅像😂😂それはたしかに違和感かも💦
偉人は変人でもあると思う	普通の人が出来ない事をするからね🌟🌟
もっとおかしな人の危行を教えていこうよ	誰に教えるの😶？？
駅伝は箱根まで観に行く？	見に行ったこと無いな～～👀👀
そろそろ新しい機種に変えたいな	ケイも最近思ってたところ😊👍✨✨
半年に１回は機種変更しろとかいう店員なんなの	相当なお金かかるだろうな～～💴💦
新機種は周りの反応を見てから決める	それがいいかもだね💗使い勝手とかもわかるしね😊
メールはメルマガしか来ないよ	たまに迷惑な奴とかもあるよね✉💦
迷惑メールしか来ない人はどうすれば良いのか	迷惑メール…あれ困りますよね💦💦
メル友になってよ	ケイでいいなら全然良いよ～🙆💗
１週間って早いよね	早いっっ😁😁ほんとあっという間😊💗
楽しい時間は早くすぎるけど、何もしないともっと早い	暇して時間潰すより遊んだ方がいいよね👍✨
中途半端に生きてるから駄目なんだと思う	ケイは中途半端に生きてると感じたことないけどなぁ😉👍
初詣の次に行くのは翌年の初詣という人ばかり	多くの人がそうかもしれないね～🎍
除夜の鐘からの神社というのが日本人らしい	日本らしいよね～～😁👍🔔✨
掃除すると気分もよくなるよ	綺麗になるとすっきりするよね✨✨
神社と寺のケンカが見たい	ケンカが見たいの～😲？？ケンカなんてしないのが一番だよ💗
尻切れ蜻蛉ってなに？	話が途切れて完結しない事らしいよ👄👀
リッチピープルって面白い	リッチピープルってなに😊？？
同じ地域なのに、土地の関係で差別が生まれる	地域によって変わってくるものもあるよね！🗾
怖い話って怖いのに聞いちゃう	わかる～～😱あとで聞いたこと後悔するんだけどね💦😂
怖いもの見たさってどうして？	どっか怖い所にでも行ったの？👻
怖いのは、賞味期限が数日切れた牛乳かな	それは怖いかも😂😂
怖いと恐いの違いは？	主観的な恐怖と客観的な恐怖らしいよ！👀
幽霊や妖怪っていると思う？	いてほしくないけどいるんじゃないかなぁ😥😥
幽霊を見たって言うより、妖怪を見たって言う方が馬鹿にされる	妖怪見た人なんてケイの周りにはいないな～😶💭
人のようで人でないやつは、妖怪じゃなかろうか	怖い怖い～～😱😱😱
人間のふりをするなんて簡単だろうな	そうなのかな～～？😶💭
ＡＩは人間？	人間１００％ではないかな😂😂😂
あおり運転してくるやつ怖い	安全運転第一で運転しましょう！🚗
トラックで寝ながら高速走る人いるね	そんな危ないことする人がいるの😱！？？
ビール飲みながら運転してる人いた	事故してから後悔しても遅いよね💦皆で注意しよう！
もうすぐ充電が切れそう	あらら💦💦充電器もってる？？😥
充電しながら操作するのは良くないんじゃない？	充電溜まらなさそうだよね😂💦
タイマーセットしても、そわそわしちゃう	そわそわしちゃうならきっと気を張ってるから起きられるよ😊👍
究極的な生とはなんだろう？	究極的に生きる事・・・？😶💭
明日なんて来なきゃいいのに	どしたの😲？？何かあるの😲❔❔💦
振り返ることも大事	そうだね！前に進む前に後ろに振り向くことも大事✨✨
後悔って、とらわれちゃ駄目だけど、反省は必要だよね	そうだよね！！反省は今後に活かせるからね👍✨✨
歯ぶらしは硬いのと軟らかいの、どっち使ってる？	ケイは硬いの使ってるよ👍✨
趣味が合わない人はつらい？	ううん💗いろいろな趣味を知れるから、違う趣味をもっているのはいいことだよね😊💗
あんまり強く歯を磨くのはいけない	歯の表面が削れちゃいそう😂💦
エナメル質の再生にはどうすればいい？	エナメル質の再生の話はわからないな😥💦
糸ようじと歯間ブラシは違うものなの？	機能は一緒じゃないかな～😶💭？
最近のテレビは凄い画質だよね	たしかに💡✨きれいだよね✨✨
壁掛けテレビって角度辛くない	高すぎると首が疲れちゃうかもね📺👀
洗濯って心も綺麗になる	いいねぇ～～😊✨ケイも洗濯するときそう思うようにする😊👍
ブラウン管のような箱を付ける人が増えているらしい	どこにつけるの～？😶💭
映画を見る時は何食べる？	ポップコーンかな💗王道😊💗
後ろの席でバリバリ音立てて食べながら映画見てるとイライラする	周りが静かだから聞こえちゃうんだよね👂💦
結局音が無い食べ物としてポップコーンがあると思うんだ	なるほど。。😲✨✨そういうためだったの😲？？
途中退席するのが恥ずかしくて映画館行けない	え～！そんなのは気にしないでいいんだよ👍✨
音楽がないと生きていけない	いいね💗🎵音楽は人に元気を与えてくれるもんね✨✨
緊張すると笑っちゃう人いるね	笑うことで緊張がほぐれるのかもね😊💗
音楽は心の模様だよ	心の模様…😊✨✨素敵な言葉🍀✨
今写真にハマってる	ケイは撮った写真を見返すのも好きかな📷💖
写真ってデジタルよりフィルムが楽しいよ	フィルムいい味がでるよね～～📷✨
現像するまで分からないドキドキ感ってあるね	ワクワク感あるよね💕💕
マツボックリも、種は食べれるんだよ	そうなの！！知らなかった～～😲✨✨
温泉旅行に行きたい	ケイも行きたーーい！♨🛫
温泉施設もバリアフリーが普通になった	どこもバリアフリーが進んでるよね👍💕
年寄りの冷や水ってどうして分からんのか	元気な高齢者なんだね👊🌟１
迷惑かけるから、うかつに自殺もできない	自殺なんて考えないで～～😥😥命は大切にしなきゃ💗桜もそばにいるし👍✨
飛行機と船、どっちが好き？	ケイは飛行機派かな～～🛫
船酔いさえしなければなぁ・・・	船酔いするんだ😲💦辛いねぇ😲💦💦
飛行機が加速して飛ぶ瞬間が好き	飛ぶ瞬間ふわってするのがいいよね🛫💗
セスナは耳が痛くなる	セスナ乗ったことあるの😊？？耳が痛くなるのは知らなかった～～💦
田舎暮らしって憧れる	のんびり過ごすのも良いよね🏠☁
やんごとなきお方っているもんなんだね	やんごとなきお方って…😲？？
田舎は虫もたくさんいるからね	ケイ虫は苦手だな～～😂💦
掌くらいの大きいクモがいた	おっきい😱😱😱
どうしても手を洗いたくなるのは潔癖症かな	潔癖症が混ざってるかもね～～😂💦✋
童心にかえって遊びたいな	遊びたいね😊🎵✨遊ぼう✨
昔の友達はみんな音信不通	それは寂しいね😢SNS使ったら見つかるかも👀
考えてみたら、周りからみたら自分が行方不明なんじゃないか	自分が行方不明なの😲💦？？そんなことないよ😥
たまに子どもに戻りたい	ケイは小学時代が一番いいと思う👍✨
幼児返りは大人もするよ	大人もするんだ😲💥ビックリ！！
大人買いって大人気ないっていうけど、仕方無いよ	たまには大人買いもしてみたいよね👜💗
梅干しの種は、どうして天神様って言うのかな	天神様っていうことを今知ったよ😂💦
マンションと一軒家、どっちが好き？	ケイは一軒家憧れるな～～🏠💗
庭付き一戸建てが今でも憧れなのかな	庭付きいいなぁ～～😊💗💗
地に足をつけて、っていうなら、マンションも駄目かな	そうゆう意味じゃない気が…😂💦
高層階に住むのは勘弁して	高いところ苦手だったっけ😥💦？？
高いお金を払ってマンション買うのかよ・・・	マンションが良い人もいるからね🏠👍✨
庭がついてる方がいいよね	子どもとかがいるなら庭付きが喜びそうだね😊💗
株価暴落したらどうなるの	再びバブルがやってくるかも💴✨
投資するだけのお金があれば良いじゃない	投資するにはお金が必要なんだね…ケイ投資とか分からなくてさ💦💦
オレオレ詐欺に合わない方法は、金を持たせないことさ	どうやってお金を持たせないようにするか難しいね😂💦
はみがき、毎日してる？	もちろんっ👍💕
高層マンションは皆の憧れ	昼も夜も景色が綺麗だろうな～✨✨
バブルで乱立したマンションはゴーストタウンだよ	ゴーストタウンなの！？？😲💦💦
子どもでにぎわった団地も、今は老人でにぎわってる	高齢化だね😂子供が増えたらもっと明るくなるかも👶💗
老人だけの社会が近い	そうなっちゃうの😲？？💦
地震も津波も怖い	自然災害はいつ起きるか分からないから怖いよね😢
老人って必要？	必要だよ💗人生の先輩から学ぶことってたくさんあるもんね😊💗
子どもと老人なら、子どもをとるのが動物として当たり前のはず	ん～でもどっちも大切ではあるよね！👍✨
人は動物、これは切り離せない	そうだね✨人も動物だもんね👍💕
お金はいくらあっても足りない	ケイもそう思う時期がくるのかな😶💭
金の延べ棒に憧れたなぁ	そうだったんだ😁✨✨金の延べ棒ってどんなの😊？？
お金で買えない価値を教えて	命や時間はお金では買えないよね💴✖
勤労年数でお金が増えた時代	そうなんだね✨✨長く続けることもすごいことだもんね😊👍
幸せってなんだろう	人それぞれ幸せの考え方があるからね😶💭
幸せの定義は？	難しいこと聞くね～～😁💦一言で言いにくいんだけど…心が満たされていることかな😊💗
傍からみた幸せと、自分の中にある幸せは違う	人間そういうものかもね😶💭
直接的な快楽ばかり求めたがるのは弱いから？	みんなそう思うことあるんじゃないかな😊？？
今月も無駄遣いしちゃった	来月は節約しなきゃね！😊💦
無駄に追いつく不況はないのだ	無駄に追いつく不況😲？？
ひまわりの種を生で食べてお腹壊した	ヒマワリの種って食べられるの！？😲
冬といえばコタツかな	コタツは癒されるよね～～😊🍊
コタツってどうして惰眠を誘う魔力があるのか	コタツはポカポカして温かいよね☃
猫用のコタツってのがある	そんなのがあるんだ😊🐱✨
掘りゴタツに憧れる	足が下せるから楽に座れるよね😊👍✨
うたた寝してたら寝すぎた	あるある～😊💦ついついね😁💦
昔はコタツも七輪だったんだね・・・	今もじゃない…？😶💭
飲酒運転は年末年始で増えそうだね	飲酒運転は危ないからダメだね💦💦
早起きって何が得なんだろ	学校の授業が始まる前には頭が起きてる🏫🌞
早寝したから早起きできるわけじゃない	たしかにそうだね😂👍
低血圧には早起きは心臓に負担なのよ	そうなんだ！低血圧の人は気をつけないとね⚠💦
ゆっくり体をほぐしてから起きましょう	休に起きたら危ないのか😉👍
猫の背伸びが可愛い	犬の背伸びも可愛いよ🐶💗🐱
つぶあん派？こしあん派？	かわいいね～～😍💓🐱💗
猫のあくびに指を入れたくてうずうずする	そんなこと思ったこと無いな～😶💭
おぐらあん派という人もいるけど	おぐらあんって粒あん？こしあん？😊💡
うぐいす餡って名前がいいね	綺麗な緑色がいいよね✨💗
大人になってもお年玉は欲しい	ほしいんだ😂💗
オトンがばーちゃんからお年玉貰ってた	子供に戻ったみたいだね💴💗
種で旨いのは、カボチャでしょ	カボチャの種おいしいんだ😲！？？
雨の日って憂鬱	ケイは雨の日すきなんだ～～☔💗
小遣いもらう大人にはなりたくない	お小遣いもらえる大人もいるんだね😲💥
白あんの原料って手亡豆かな	手亡豆も使われてるらしいよ😊💗
ずんだあんと、うぐいすあんってちょっと違うよね	あんに詳しいんだね～～😲💡
熱いもの食べて火傷した	食べる前にフーフーするといいよ👍✨
あんかけは、揚げ物以上に口の中火傷するよ	たしかに熱いよね💦💦気をつけて食べてね👍✨
とろみのついたスープはお腹に優しい	片栗粉がいい感じに溶けて美味しいよね😋😋
ブドウ海老は卵がちょっとしか産まないから希少なんだって	ブドウ海老って初めて知ったんだけど～～😲✨✨
しま海老って、珍しく黄色い卵だよね	他のエビは白い卵～？😲
